min_Gmag_bin,max_Gmag_bin,factor_Halpha,factor_Hbeta,factor_O3,factor_CHalpha,factor_CHbeta,factor_CO3,factor_r,factor_i
4.0,5.0,1.127788783174004,1.5067381753370068,1.4941756372942483,0.8785399458496841,1.0096039428038652,1.4279950599408775,2.2554659281809597,5.662121682151509
5.0,6.0,1.0442377345368066,1.4999784229223732,1.405255545389879,0.8962083023215048,1.095864260295066,1.4131643019028013,1.9402662078480712,5.382193998378313
6.0,7.0,1.0306797646271817,1.549749405813202,1.5484998185522445,1.1579704873337842,1.1703173161810787,1.5875839868213557,2.0703528598664667,4.965177512535185
7.0,8.0,1.015904242832642,1.4486518866668858,1.4752246306597971,1.1434419107230205,1.1257943602806606,1.6090633215816843,2.1537838963354976,5.073309549296539
8.0,9.0,1.0924885372600008,1.4204365709594633,1.2278505620216829,1.1516009472689797,1.0241995923523397,1.3587038575834025,2.04612019917024,4.097051675201372
9.0,10.0,1.262051365604484,1.5519017254854832,1.4450160004948942,1.3789011733241647,1.1635635876616242,1.5179487866851948,2.363123293670749,4.354145861760004
10.0,11.0,1.1702676590642596,1.6072682904878357,1.476779631839818,1.3109311662910734,1.2011642165695782,1.4713864286809093,2.304427909320077,4.103669825845944
11.0,12.0,1.119926067813998,1.4126644999604028,1.2029582413886042,1.1294455093778848,1.1276932236435906,1.1533928554551471,1.7553084430067925,3.3065257567680115
12.0,13.0,0.9547318348101348,1.2559552876552271,1.126793998108684,1.2157601469684092,1.0194010109014828,1.2434296095563226,1.8372641070784037,3.0919531972048886
13.0,14.0,0.9665360912957928,1.1850751483953577,1.1201369851019534,1.1148397562980774,1.0702241092872162,1.1393059263074554,1.5359749754274439,2.409440358569193
14.0,15.0,0.9616239719283604,1.1052150908675344,1.0058412111855302,1.0673819284328312,1.0179717099899712,1.1149350800775806,1.3569750738666393,1.8536264648113585
15.0,16.0,0.9516873351001608,1.0307080787659175,1.0106407977641445,1.058398323680373,1.032510978695807,1.0639379728623086,1.232284258974257,1.5728131276426738
16.0,17.0,1.0102049550564676,1.0513533279281757,1.0228148397216774,1.0383789581416267,1.017222803366954,1.070794074936377,1.1639144345093482,1.4475853416458195
17.0,18.0,0.995391934451165,1.058732656855421,1.0348767896259663,1.0248944659537298,1.0547476741881932,1.0690919171483704,1.1937254900642418,1.5309245156503062
18.0,19.0,1.0281064166685043,1.0196691920682996,1.0320881545146534,0.9764078945252322,1.0341683788771872,1.0553929424211337,1.1990018016807815,1.4481977169133953
19.0,20.0,1.027984395942358,1.0777791888780364,1.0725859120155707,1.0010334877850584,1.047656994058437,1.0841676823112154,1.136004659565522,1.4390999445140868
20.0,21.0,1.0179256964216659,1.0731524294974526,1.0425196514142292,0.9823628133915364,1.0391777607597654,1.027930362629383,1.1103725775922892,1.4701665434098492
