min_Gmag_bin,max_Gmag_bin,factor_G,factor_BP,factor_RP,factor_RVS_RP,factor_RVS
4.0,5.0,5.116532405101225,3.8037831615016566,5.362907596423793,1.1501472399179031,1.146117737522342
5.0,6.0,4.821728899557108,3.7198870947789793,5.35074047478627,1.2592106620712884,1.2468488695628483
6.0,7.0,5.39811320485466,4.129750450034759,5.635616631205172,1.3721948029987654,1.3529473926891926
7.0,8.0,5.663005153384446,3.884125207774198,6.279308047339821,1.348695330830986,1.3453532781908155
8.0,9.0,4.625679486775848,3.4607155224152435,5.3470519087941,1.2001094962670642,1.1964311009496642
9.0,10.0,4.594293518288371,3.7942749619624174,5.019850098490519,1.2824058245142789,1.2926007589244035
10.0,11.0,4.241985299086054,3.870827489026286,4.227816381646382,1.2213864952829183,1.2081330041314935
11.0,12.0,3.2071940385186317,3.0020629782396284,3.2863086612347168,1.1170989495687371,1.117849515819824
12.0,13.0,3.803792234468143,2.7629457064623706,3.8711935505316832,1.2407841674797493,1.2510732297956384
13.0,14.0,3.0274389773551045,2.3293529829104123,3.0651669271594737,1.106628289586928,1.1117930235300304
14.0,15.0,2.41432424703492,1.9020840774244958,2.409242906530248,1.0357812361361722,1.041127360057904
15.0,16.0,2.0414924407206843,1.775857438840386,2.1153025007767456,1.0399492414339615,1.0339792779130428
16.0,17.0,1.8832398244571984,1.7939626114508656,1.9012279510872887,1.0004615717306082,1.0023400407843304
17.0,18.0,1.990716641343879,1.8770260037381727,2.0442370910854786,1.0139330838420657,1.01489253723043
18.0,19.0,2.0597124498238566,2.0615212629843027,1.9724015967133084,1.0386609142749137,1.0337154908173258
19.0,20.0,2.0240518445518374,2.034586398720029,1.9339532056156157,1.0381778284843404,1.0437690915047515
20.0,21.0,1.941968036213702,1.8986936996445336,1.925165727642612,1.0969222684653794,1.100393935602232
