min_Gmag_bin,max_Gmag_bin,factor_f435w,factor_f475w,factor_f550m,factor_f555w,factor_f606w,factor_f625w,factor_f775w,factor_f814w,factor_f850lp
4.0,5.0,3.138391322778139,3.679118017755468,1.5802514752794643,3.0222544850425255,3.0848574398597264,2.2238061763808483,5.824098975537739,5.609808200697325,2.2482079415939196
5.0,6.0,2.93263891824102,3.4563213878244183,1.622587348421383,3.182976826869063,2.6345335024429124,1.9909222839130192,5.6555752849068135,5.656292884214553,2.4201059589141694
6.0,7.0,3.2100953937682473,3.79075114411871,1.8097973851169777,3.5980497014173096,2.6872806269294993,2.115375263695593,5.309442446109228,5.928652814392423,2.2656637314889867
7.0,8.0,2.9303502214594657,3.545714394243806,1.7315502285022655,3.540079527720783,2.7506455476041136,2.1607328527778495,5.1441150414536825,5.991670888007758,2.5865218790524707
8.0,9.0,2.872812134847927,3.227815493234755,1.6541137309549359,2.586790416666986,2.616814128465077,2.0764698815856137,4.353647593783604,4.919274760870946,2.3968170840046277
9.0,10.0,3.0739379355530314,3.566124133953789,1.8796244826070434,3.1998527602284237,2.965807287474445,2.3118277797397377,4.597498229915802,5.151780921869586,2.106331149295409
10.0,11.0,3.1558835048863925,3.804081571705604,1.9326625433330027,3.30192866581549,2.8668940525514457,2.1751520618512012,4.280222602643519,4.600796708018721,1.7389820090270902
11.0,12.0,2.7292924727491226,3.2340358776970466,1.506811553082287,2.3987310613751727,2.107827885148836,1.687694912409241,3.472272707349438,3.7242847334259777,1.4127590348225418
12.0,13.0,2.319790004159417,2.780709056720104,1.587853539018834,2.3909641863413613,1.9720569726427835,1.739507758035339,3.2342748060477158,3.8030008378423137,1.7236858618304167
13.0,14.0,2.1416839742582408,2.46244478998739,1.375964442806321,1.9355966942205964,1.7199027035027412,1.48844094130463,2.5125065985443062,2.8817783938190544,1.5054077056904789
14.0,15.0,1.7645720386257935,1.8477019974239348,1.2069878316765252,1.5879557797043438,1.4745836159631338,1.327542907502353,1.921589158994537,2.194133913905705,1.3247852886223066
15.0,16.0,1.6230173220294892,1.619372700608403,1.137820720875598,1.3669492332777435,1.350109309072716,1.2188015294331174,1.641765615082793,1.873589870636256,1.2124167845179343
16.0,17.0,1.5234023885146886,1.5568766678255912,1.068686507899042,1.3313133554333785,1.2890368855392413,1.173829945756987,1.5063458895094701,1.6734811913919407,1.0838947509001051
17.0,18.0,1.5005976714917253,1.5492071959433045,1.0896215898192665,1.364849924597634,1.3258703777266496,1.2103737995763946,1.5807120772469196,1.7791945332953834,1.1399089708918306
18.0,19.0,1.5423157728706103,1.6244720655927751,1.0720726831922813,1.435655277671182,1.393692802696086,1.2260440249955202,1.4973164944500807,1.6644055841059788,1.0531217253877825
19.0,20.0,1.535222019954516,1.564704494530648,1.0843411428687104,1.3112876463258507,1.3452442788705428,1.1645346016046654,1.4875053259763802,1.6566787112942047,1.0277544555245877
20.0,21.0,1.5186293802547008,1.5648271661825626,1.0619670051902181,1.3123243301158518,1.2943538748414958,1.180304837912236,1.5601466938063244,1.6583433679404593,1.014089059258156
