min_Gmag_bin,max_Gmag_bin,factor_CaHK
4.0,5.0,0.6968429909828222
5.0,6.0,0.7062748868575277
6.0,7.0,0.8326401573463028
7.0,8.0,0.7517082900176948
8.0,9.0,0.7515312266931568
9.0,10.0,0.8516919699911591
10.0,11.0,0.7468301381071802
11.0,12.0,0.6937971300855832
12.0,13.0,0.6964505087317423
13.0,14.0,0.8623593939529879
14.0,15.0,0.9341089394281148
15.0,16.0,0.9929178147427662
16.0,17.0,0.9770076637170624
17.0,18.0,0.963406334208383
18.0,19.0,1.0149283621987044
19.0,20.0,1.0050742174698706
20.0,21.0,0.9600732356652256
