min_Gmag_bin,max_Gmag_bin,factor_v,factor_b,factor_y
4.0,5.0,1.1657527729081827,1.2959823371997143,1.0155331138147767
5.0,6.0,1.0678318101729165,1.3631186777207787,0.9622107211258228
6.0,7.0,1.2475044857789332,1.3742034528345126,1.1204780569558763
7.0,8.0,1.1509880141415558,1.3618227895801636,1.055044364508932
8.0,9.0,0.8959033131572984,1.5034818099725706,1.0335263077188568
9.0,10.0,1.100706572927501,1.5149702668149294,1.1238298484782678
10.0,11.0,1.0240430402096663,1.5079278047156635,1.1153818709030872
11.0,12.0,0.9992224861718837,1.3532377695081113,0.9025011413010552
12.0,13.0,0.9444206367034358,1.173659165963024,1.0516544992251315
13.0,14.0,0.9964634893035182,1.1734426966375382,0.9848404569358841
14.0,15.0,1.0285290608481983,1.0921079464592154,1.009571773658884
15.0,16.0,1.0275720827855301,1.0669901425040287,1.000339374506035
16.0,17.0,1.02442733833322,1.0557804146444019,1.026393700447335
17.0,18.0,1.0655542498752861,1.0332179213131125,1.002458697534281
18.0,19.0,1.0649430838552392,1.0353208034716124,1.047529823586521
19.0,20.0,1.0628822732906398,1.0463391635829515,1.005096758397893
20.0,21.0,1.0325218275034391,1.0704811082839396,1.0454912237978857
