min_Gmag_bin,max_Gmag_bin,factor_Hp,factor_Hp_Bes,factor_Hp_MvB,factor_BT,factor_BT_Bes,factor_BT_MvB,factor_VT,factor_VT_Bes,factor_VT_MvB
4.0,5.0,4.466942410612706,4.69394997257973,4.59736816750295,3.235523819362603,3.252714401150201,3.252341438294617,3.4032400540576866,3.4573070246433604,3.60884409981212
5.0,6.0,4.4177795661086225,4.222793728232702,4.333417832892227,2.9868022333754913,2.989818783123358,3.0849266768073216,3.468104116679667,3.5307952102059117,3.6303228020160607
6.0,7.0,5.110074680918903,4.496150899691831,4.565400110059672,3.5432217348829798,3.6194624060398493,3.5988011378227327,3.8898366796472073,3.910843162169626,4.033147592171816
7.0,8.0,4.845271504854795,4.642510063358689,4.6818189067238976,3.124652314514034,3.1864948139121196,3.2222322024589785,3.7565832971159914,3.838676699008725,3.8999117837036277
8.0,9.0,4.120048161280915,3.6206437730792946,3.637890239657758,3.093747698585436,3.1102008740617846,3.139129473893484,2.761412334153653,2.8571867062628833,2.9280576849152675
9.0,10.0,4.402623621365471,4.181410555186449,4.249011780476012,3.332739113745503,3.291657761693946,3.353753915089662,3.2088184359984213,3.2901431649980726,3.419673356219019
10.0,11.0,4.60614661974285,4.3714909755545355,4.405686896660313,3.157206087650273,3.1944904802081084,3.2143955095782766,3.409066973838784,3.503074951456152,3.642291570653492
11.0,12.0,3.6348612506511717,3.3187264747250858,3.3340528615860254,2.6470939085911143,2.6888712997088327,2.7208497296396703,2.4589878922903337,2.4963608257002674,2.6024206033044557
12.0,13.0,3.5137672125092583,3.214690533106247,3.2525222341467446,2.2813296350915184,2.3078397838264415,2.3213194399827706,2.4637859344289623,2.5237120080602127,2.5660195237745014
13.0,14.0,2.997881035782025,2.764137542967573,2.7922158035176903,2.100209542703979,2.1483029182065323,2.161755210897568,1.9619126940359106,1.9918764177587414,2.088306453535904
14.0,15.0,2.2750549343341007,2.0950541260868434,2.152422212355567,1.7365122082349758,1.7643243359371736,1.7749566410923365,1.5578445050694112,1.6007312735537114,1.6559315211512549
15.0,16.0,1.9719765276737524,1.7887926873550128,1.823026314111389,1.6203679156105562,1.6390658383756613,1.6366688360454802,1.368135537470869,1.3930849725185293,1.4076473921538066
16.0,17.0,1.9272907801244727,1.7148732980538643,1.7717098552385722,1.5703804960368886,1.586669972544418,1.5836640944115827,1.3408810210045874,1.3557575375676933,1.381796379237105
17.0,18.0,1.941059838081012,1.8134387466198887,1.8405935889384422,1.5336968568355454,1.5400573977968592,1.540967512030591,1.3667381647722787,1.3910313716629519,1.393481788164103
18.0,19.0,2.004569882753638,1.9005844963415566,1.949391547722822,1.5426099708038077,1.5568967695653995,1.5690232238740882,1.400377407212862,1.405647454087649,1.4538902474485815
19.0,20.0,1.9709331752684314,1.8863381773334447,1.920864154677151,1.5073494296096246,1.5451908899908464,1.5256244991466246,1.3522494478255913,1.3643932299476864,1.4067416101010615
20.0,21.0,1.8498826180744303,1.8207745619336249,1.855815848951865,1.5025514109496036,1.5021941277854414,1.5231113064681412,1.2536466155683579,1.2814180825105903,1.3219538607949932
