min_Gmag_bin,max_Gmag_bin,factor_Ha,factor_r,factor_i
4.0,5.0,0.7021842472616779,2.2465381576090664,5.662121682151016
5.0,6.0,0.6730285630853665,1.940266207848071,5.3821939983782565
6.0,7.0,0.523771451941934,2.0703528598668024,4.965177512534863
7.0,8.0,0.5566093237670456,2.153783896335692,5.073309549296553
8.0,9.0,0.6057998029097582,2.04612019917033,4.097051675201778
9.0,10.0,0.7523440351739965,2.363123293670875,4.3541458617604505
10.0,11.0,0.6903633010402457,2.304427909320329,4.103669825846004
11.0,12.0,0.7023287754935754,1.7555282011775257,3.306525756767991
12.0,13.0,0.6359901578072165,1.8372641070785487,3.0919531972047176
13.0,14.0,0.7683725777624935,1.535974975427444,2.4094403585692583
14.0,15.0,0.8663436714570819,1.3610045723870994,1.8536264648115113
15.0,16.0,0.935030477766829,1.232284258974257,1.5728131276426485
16.0,17.0,0.9678630359426588,1.164050382675677,1.4475853416456914
17.0,18.0,0.9593487039871711,1.191000252492819,1.5309245156502502
18.0,19.0,1.0125391484064803,1.202789255323423,1.4481977169134015
19.0,20.0,0.9910850370047661,1.1334754555084068,1.4390999445140755
20.0,21.0,0.9946283949673549,1.1102665864901184,1.4701665434098452
