min_Gmag_bin,max_Gmag_bin,factor_U,factor_B,factor_V,factor_R,factor_I
4.0,5.0,1.7931690122083461,3.6695981678486165,2.9613624682687365,2.647194730548825,5.851206019915267
5.0,6.0,1.8256022145831707,3.543213636654424,3.0586028876454843,2.388649255194675,5.623459786011548
6.0,7.0,2.0195538495037626,4.146616242606072,3.429928885826909,2.6419744541796484,5.6317105858958945
7.0,8.0,1.5625086003894229,3.894416018761289,3.334799647807298,2.890874736286464,5.7384236765084005
8.0,9.0,1.8558906799222326,3.7032824582352277,2.722158487858431,2.4298331323023383,4.728640596342705
9.0,10.0,2.025441830846206,3.851992477045215,3.2266752956773033,2.5862677284044864,4.777116037567421
10.0,11.0,1.753451413315428,3.8576730449527608,3.33485809091894,2.4169289502496474,4.405756728958319
11.0,12.0,1.5525998482396934,3.368640012070001,2.4184417717061946,1.8198012660926652,3.558041339715156
12.0,13.0,1.4588692979116067,2.8941362223456792,2.5457282902851857,2.2283535030217916,3.585289432464963
13.0,14.0,1.3807692013840451,2.5690339730353395,1.9844792869542476,1.8463793198402967,2.6796065657988897
14.0,15.0,1.2865969688492145,2.0034223780143607,1.6438186821688858,1.5782047574623352,2.0423286668889773
15.0,16.0,1.2312767934360882,1.7715096431586757,1.3709074305933313,1.3621709014713868,1.6979385525942445
16.0,17.0,1.1819403570653544,1.6339091023640209,1.3013559275835036,1.2862697644689172,1.560476803890252
17.0,18.0,1.1387609202904592,1.5739798912577427,1.3527629832528643,1.3049062888998493,1.6794533699318208
18.0,19.0,1.1629535540541167,1.6084736698213224,1.2893185485656509,1.3078027356211943,1.5902777683724523
19.0,20.0,1.1723007181385776,1.5646056271857085,1.2597011567854492,1.259265573277137,1.5662515604352456
20.0,21.0,1.153861300750935,1.5806373723188045,1.241058009807921,1.2105419744763422,1.6334623881897383
