min_Gmag_bin,max_Gmag_bin,factor_uJAVA,factor_J0378,factor_J0395,factor_J0410,factor_J0430,factor_gJPLUS,factor_J0515,factor_rJPLUS,factor_J0660,factor_iJPLUS,factor_J0861,factor_zJPLUS
4.0,5.0,1.477081221317482,0.8451269029554818,0.6629986980070277,1.1233217939433238,1.13983043919526,3.649225237204917,1.0666178118712222,2.359082562082913,0.9325406500674391,5.819749948061077,1.6705027780953405,2.960814757412786
5.0,6.0,1.4992923566807799,0.9039001268719696,0.6896952012074051,1.0353944618757238,1.0230451791949577,3.3793700532741147,1.0565955020959112,2.0569427606252564,0.8582454233484221,5.603992845658487,1.699382693380221,3.1828580319929474
6.0,7.0,1.6799482575841074,0.9920593457482916,0.8291090707865847,1.2155580940038064,1.140673077951865,3.6881197101502368,1.0613563255945715,2.225654761462107,0.8275943076526531,5.16045780191941,1.68543069629981,3.2649474803353424
7.0,8.0,1.2648104934901312,0.9148457927969935,0.7396407558719125,1.1440506600391758,1.0525155589162025,3.477229135523733,1.1642383120100939,2.2707627845553464,0.8529138803733329,5.166066432124969,1.6490590807300722,3.551833326166478
8.0,9.0,1.6084948335762141,0.9751681610240708,0.7330202373224923,0.8558340734792939,0.9721711298067285,3.125088493937018,0.958476430675297,2.150322239797652,0.9030982489760622,4.2945780503477735,1.5694384822371166,3.1809350043679863
9.0,10.0,1.7523341434619604,1.0527887011708499,0.833519359318825,1.1052236673731433,1.0173784507003747,3.4168838892088726,1.1042417140857812,2.4711610281829177,1.08664550099773,4.520711293208425,1.7170582413401825,2.922725923359441
10.0,11.0,1.5399272807299704,0.925952910708116,0.7449219347341918,1.0357618271150115,0.9843430476460113,3.641531114668104,1.0771183470385517,2.383717399676856,0.9877613514280865,4.24274345793189,1.608317638046752,2.483585569749875
11.0,12.0,1.445775670545653,0.8633555888739228,0.7083142514793568,1.0252964369057338,0.8585090060213629,3.0437059077940543,0.8988341624393412,1.8343479893558499,0.9137817017423475,3.4568223195437673,1.387175692542974,1.9709630167921866
12.0,13.0,1.378130747578751,0.8610374655173658,0.7033104963424621,0.9674331486734356,0.8863939319752787,2.6752753770589504,0.9811887057414792,1.8901236279655111,0.7995583804691622,3.177115964826365,1.5143738494695933,2.3307022421515184
13.0,14.0,1.3079215286040307,0.9368036467700069,0.8635356053334773,1.0221532619088571,0.9424600568671977,2.3706334829916362,0.9839654409882503,1.5572169880085072,0.8825056138490159,2.4691192434962623,1.343055678416581,1.9269998479951118
14.0,15.0,1.2458214497951867,0.9891469967643834,0.94409991507134,1.0363105447784282,0.9659463367987946,1.80081005601172,0.9652774909876268,1.4040009538980456,0.9081793401623972,1.9327446144984677,1.2166832670811596,1.6027929308073656
15.0,16.0,1.1839706240926338,1.028711688021089,1.019301280606947,1.0139308849346191,1.014248632586816,1.575079980603371,1.0199960684330032,1.254734304225468,0.9461413740633544,1.665443525261873,1.1289537283786282,1.4271400160272645
16.0,17.0,1.1457411138554403,1.0258927453241182,0.9748298903344425,1.023627440508081,1.0139917626595665,1.5139583753697239,1.00559156882739,1.1899836436751223,0.9914166378176356,1.5139065282859283,1.0621077539748205,1.2186410260626894
17.0,18.0,1.10376368179417,1.055957124108314,0.9858034032339027,1.062195762972575,1.0530935535342587,1.5241828629993122,1.037666475545525,1.2222244722668631,0.9713907972002329,1.5990181748286942,1.0621143386909577,1.2780087672764586
18.0,19.0,1.1460569006641141,1.0198964893551588,0.9796121292087518,1.0300043811551804,1.0336516069199766,1.6156651368834742,1.0096029312769257,1.2550945918691427,1.0082370455587744,1.5004362317105593,1.054817144863736,1.164550419777382
19.0,20.0,1.1448979809664799,1.0422274476758258,1.0161684747198234,1.0545456421557224,1.0341725140832905,1.569797564789394,1.017616746060249,1.164175063014607,1.0053362272025779,1.5049869014289619,1.0426971123706679,1.10283051816949
20.0,21.0,1.1233141730822918,1.0644312560136524,0.991264141551879,1.0524372514319411,1.0113769967571409,1.4840756615423145,0.9699759892539855,1.1735360110873647,0.9819544860792879,1.6210768366474437,1.0268707069841168,1.0756672537761198
